50 1225
0 1 15
0 2 15
0 3 15
0 4 30
0 5 10
0 6 30
0 7 10
0 8 15
0 9 15
0 10 15
0 11 30
0 12 15
0 13 15
0 14 10
0 15 15
0 16 10
0 17 15
0 18 30
0 19 10
0 20 30
0 21 30
0 22 10
0 23 30
0 24 10
0 25 15
0 26 10
0 27 15
0 28 10
0 29 30
0 30 30
0 31 30
0 32 30
0 33 30
0 34 15
0 35 10
0 36 15
0 37 15
0 38 15
0 39 30
0 40 15
0 41 15
0 42 10
0 43 10
0 44 30
0 45 10
0 46 30
0 47 15
0 48 15
0 49 15
1 2 30
1 4 10
1 6 30
1 8 30
1 11 30
1 12 15
1 14 10
1 15 30
1 18 15
1 19 10
1 20 10
1 23 10
1 26 30
1 27 10
1 28 15
1 29 15
1 32 30
1 33 30
1 41 10
1 44 30
1 45 10
1 47 15
1 49 30
2 3 10
2 5 30
2 6 10
2 7 10
2 8 15
2 9 10
2 11 10
2 13 15
2 15 15
2 16 15
2 19 10
2 20 15
2 21 15
2 25 15
2 26 10
2 31 15
2 35 30
2 36 15
2 39 15
2 43 30
2 44 10
2 46 30
2 47 15
2 48 15
2 49 10
3 1 30
3 4 10
3 5 30
3 7 30
3 8 30
3 10 15
3 11 30
3 15 30
3 16 30
3 17 30
3 21 30
3 22 30
3 23 30
3 24 10
3 25 15
3 30 15
3 32 30
3 33 15
3 34 10
3 40 30
3 41 15
3 45 30
3 48 30
3 49 30
4 2 10
4 5 30
4 7 15
4 8 30
4 11 30
4 12 30
4 18 10
4 19 15
4 22 10
4 23 10
4 25 10
4 29 30
4 31 30
4 33 10
4 34 15
4 35 30
4 38 15
4 39 30
4 41 15
4 44 15
4 46 15
4 47 30
4 48 15
4 49 30
5 1 10
5 7 30
5 9 10
5 12 30
5 15 10
5 18 10
5 19 15
5 21 15
5 24 10
5 25 15
5 26 10
5 27 15
5 30 10
5 31 30
5 32 30
5 35 15
5 36 10
5 38 10
5 41 30
5 43 15
5 44 15
5 45 30
5 47 30
5 48 15
5 49 30
6 3 10
6 4 30
6 5 10
6 7 15
6 8 10
6 9 15
6 10 30
6 11 15
6 13 30
6 17 10
6 19 10
6 20 10
6 27 15
6 30 30
6 33 10
6 37 30
6 39 30
6 41 30
6 42 30
6 43 30
6 46 15
6 48 15
6 49 15
7 1 30
7 13 30
7 14 10
7 15 30
7 19 15
7 21 15
7 22 30
7 23 30
7 24 30
7 25 10
7 26 30
7 27 10
7 28 15
7 29 10
7 31 30
7 32 15
7 35 15
7 36 10
7 37 15
7 38 15
7 41 10
7 43 15
7 46 10
7 48 10
7 49 10
8 5 30
8 7 30
8 9 15
8 10 15
8 11 30
8 12 10
8 13 15
8 14 10
8 15 10
8 16 15
8 18 30
8 20 10
8 24 10
8 25 30
8 26 15
8 29 10
8 30 15
8 31 30
8 33 10
8 34 30
8 35 10
8 36 15
8 39 10
8 42 10
8 43 15
8 44 30
8 49 30
9 1 10
9 3 10
9 4 15
9 7 10
9 11 10
9 12 15
9 15 10
9 16 15
9 17 30
9 22 10
9 25 10
9 27 15
9 29 15
9 35 15
9 36 15
9 37 10
9 38 15
9 41 10
9 42 15
9 43 15
9 44 15
9 45 30
9 48 30
9 49 10
10 1 10
10 2 15
10 4 10
10 5 10
10 7 10
10 9 30
10 16 30
10 23 10
10 24 10
10 25 15
10 27 30
10 34 30
10 35 30
10 36 10
10 37 10
10 41 10
10 42 10
10 46 10
10 47 15
10 48 30
10 49 15
11 5 15
11 7 10
11 10 15
11 14 10
11 16 15
11 20 10
11 21 10
11 24 10
11 25 15
11 29 15
11 30 15
11 32 30
11 33 15
11 36 30
11 37 10
11 38 15
11 40 10
11 41 30
11 42 15
11 44 15
11 45 10
11 46 10
11 49 10
12 2 10
12 3 30
12 6 10
12 7 30
12 10 15
12 11 10
12 16 30
12 17 30
12 18 15
12 19 30
12 22 10
12 23 15
12 25 10
12 26 30
12 29 10
12 33 30
12 35 15
12 36 10
12 40 10
12 41 10
12 42 30
12 45 10
12 47 10
12 49 15
13 1 15
13 3 10
13 4 10
13 5 10
13 9 15
13 10 30
13 11 10
13 12 30
13 15 15
13 16 10
13 21 30
13 23 10
13 30 15
13 33 30
13 34 10
13 35 30
13 37 30
13 38 10
13 40 30
13 42 10
13 44 15
13 49 15
14 2 10
14 3 10
14 4 10
14 5 15
14 6 10
14 9 10
14 10 30
14 12 10
14 13 15
14 16 10
14 17 10
14 18 10
14 19 15
14 20 15
14 22 10
14 23 10
14 32 10
14 40 15
14 41 30
14 43 30
14 44 15
14 45 10
14 46 15
14 49 15
15 4 30
15 6 30
15 10 30
15 11 10
15 12 30
15 14 30
15 20 15
15 21 30
15 22 30
15 23 30
15 25 30
15 26 15
15 27 15
15 30 15
15 31 30
15 32 15
15 34 10
15 35 30
15 36 15
15 37 15
15 39 10
15 40 10
15 45 15
15 46 10
15 47 15
15 48 30
15 49 30
16 1 15
16 4 10
16 5 10
16 6 15
16 7 15
16 15 10
16 17 30
16 18 10
16 19 15
16 20 10
16 22 10
16 23 10
16 26 15
16 27 30
16 30 10
16 31 10
16 32 30
16 33 15
16 37 10
16 39 15
16 40 15
16 42 30
16 44 15
16 45 10
16 46 10
16 47 15
16 48 10
16 49 10
17 1 15
17 2 15
17 4 15
17 5 15
17 7 15
17 8 15
17 10 15
17 11 10
17 13 10
17 15 10
17 22 15
17 24 30
17 27 10
17 29 10
17 31 10
17 32 15
17 35 10
17 38 10
17 39 30
17 40 15
17 42 10
17 46 10
17 47 15
17 48 10
17 49 30
18 2 10
18 3 15
18 6 10
18 7 30
18 9 30
18 10 30
18 11 15
18 13 10
18 15 30
18 17 10
18 19 15
18 24 10
18 28 30
18 30 30
18 32 30
18 33 30
18 37 10
18 42 15
18 43 10
18 44 30
18 47 30
18 48 30
18 49 10
19 3 10
19 8 10
19 9 15
19 10 10
19 11 30
19 13 15
19 15 15
19 17 15
19 22 30
19 23 30
19 24 10
19 27 10
19 28 30
19 29 10
19 30 30
19 31 10
19 32 10
19 33 15
19 34 10
19 35 15
19 36 10
19 39 30
19 40 10
19 44 10
19 45 30
19 47 30
19 48 10
19 49 15
20 3 10
20 4 10
20 5 10
20 7 10
20 9 10
20 10 10
20 12 30
20 13 15
20 17 15
20 18 30
20 19 10
20 22 30
20 24 10
20 26 10
20 28 15
20 31 10
20 32 15
20 33 30
20 34 15
20 36 10
20 38 10
20 39 30
20 40 30
20 41 15
20 49 15
21 1 10
21 4 30
21 6 30
21 8 10
21 9 15
21 10 30
21 12 30
21 14 10
21 16 10
21 17 30
21 18 15
21 19 15
21 20 15
21 24 10
21 26 15
21 27 10
21 28 15
21 29 30
21 32 15
21 34 15
21 35 15
21 36 30
21 41 30
21 42 30
21 44 10
21 49 10
22 1 30
22 2 10
22 5 30
22 6 10
22 8 30
22 10 15
22 11 30
22 13 30
22 18 30
22 21 15
22 23 15
22 26 15
22 28 10
22 30 15
22 33 30
22 34 15
22 35 30
22 37 15
22 38 10
22 39 10
22 42 15
22 43 30
22 44 10
22 45 30
22 47 15
22 48 10
22 49 15
23 2 15
23 5 15
23 6 15
23 8 10
23 9 10
23 11 30
23 17 30
23 18 10
23 20 10
23 21 30
23 24 10
23 25 30
23 26 30
23 27 30
23 30 15
23 32 10
23 33 15
23 36 15
23 37 15
23 40 15
23 45 30
23 46 10
23 48 15
23 49 10
24 1 30
24 2 15
24 4 30
24 6 30
24 9 15
24 12 30
24 13 15
24 14 30
24 15 10
24 16 10
24 22 10
24 25 30
24 27 15
24 29 30
24 30 15
24 31 15
24 33 10
24 35 15
24 37 15
24 38 15
24 39 10
24 40 30
24 41 10
24 45 15
24 47 10
24 49 10
25 1 10
25 6 30
25 13 15
25 14 15
25 16 30
25 17 30
25 18 15
25 19 15
25 20 15
25 21 30
25 22 15
25 27 30
25 28 30
25 32 15
25 33 30
25 35 15
25 36 10
25 37 30
25 40 15
25 41 15
25 42 10
25 44 30
25 45 10
25 49 30
26 3 15
26 4 30
26 6 30
26 9 30
26 10 15
26 11 10
26 13 15
26 14 15
26 17 10
26 18 15
26 19 10
26 24 10
26 25 15
26 27 15
26 28 30
26 29 15
26 34 15
26 35 10
26 36 30
26 39 15
26 40 15
26 43 15
26 46 15
26 48 10
26 49 15
27 2 15
27 3 15
27 4 15
27 8 10
27 11 30
27 12 30
27 13 15
27 14 15
27 18 30
27 20 30
27 22 10
27 31 30
27 36 30
27 38 10
27 40 30
27 43 15
27 46 30
27 47 15
27 48 10
27 49 30
28 2 10
28 3 15
28 4 15
28 5 10
28 6 30
28 8 15
28 9 15
28 10 10
28 11 15
28 12 30
28 13 30
28 14 30
28 15 15
28 16 15
28 17 30
28 23 30
28 24 15
28 27 30
28 29 15
28 33 15
28 34 30
28 35 10
28 39 30
28 40 30
28 43 15
28 44 30
28 46 10
28 47 30
28 49 15
29 2 30
29 3 30
29 5 10
29 6 15
29 10 30
29 13 15
29 14 15
29 15 10
29 16 15
29 18 15
29 20 10
29 22 15
29 23 15
29 25 30
29 27 30
29 30 15
29 34 10
29 36 30
29 43 10
29 44 15
29 45 15
29 46 15
29 48 30
29 49 30
30 1 30
30 2 10
30 4 10
30 7 10
30 9 10
30 10 30
30 12 10
30 14 10
30 17 10
30 20 15
30 21 10
30 25 10
30 26 30
30 27 15
30 28 10
30 32 10
30 33 10
30 35 15
30 39 10
30 40 30
30 42 30
30 44 15
30 47 10
30 49 15
31 1 15
31 3 30
31 6 30
31 9 15
31 10 15
31 11 15
31 12 30
31 13 15
31 14 10
31 18 10
31 21 10
31 22 10
31 23 15
31 25 30
31 26 15
31 28 15
31 29 15
31 30 30
31 32 15
31 33 15
31 35 30
31 40 15
31 41 30
31 44 10
31 47 30
31 48 15
31 49 15
32 2 10
32 4 10
32 6 10
32 8 10
32 9 15
32 10 10
32 12 10
32 13 30
32 22 30
32 24 10
32 26 30
32 27 10
32 28 30
32 29 30
