150 11175
0 1 15
0 2 30
0 3 30
0 4 15
0 5 10
0 6 30
0 7 10
0 8 15
0 9 15
0 10 10
0 11 30
0 12 10
0 13 10
0 14 15
0 15 15
0 16 30
0 17 10
0 18 10
0 19 15
0 20 30
0 21 10
0 22 15
0 23 15
0 24 30
0 25 10
0 26 10
0 27 30
0 28 30
0 29 10
0 30 15
0 31 15
0 32 15
0 33 10
0 34 10
0 35 10
0 36 10
0 37 10
0 38 15
0 39 15
0 40 15
0 41 15
0 42 15
0 43 10
0 44 10
0 45 15
0 46 30
0 47 15
0 48 30
0 49 10
0 50 15
0 51 10
0 52 30
0 53 30
0 54 30
0 55 30
0 56 10
0 57 15
0 58 10
0 59 30
0 60 30
0 61 30
0 62 10
0 63 15
0 64 30
0 65 15
0 66 15
0 67 30
0 68 10
0 69 15
0 70 30
0 71 10
0 72 10
0 73 15
0 74 10
0 75 10
0 76 30
0 77 30
0 78 30
0 79 10
0 80 10
0 81 30
0 82 15
0 83 10
0 84 10
0 85 10
0 86 15
0 87 15
0 88 10
0 89 10
0 90 30
0 91 15
0 92 10
0 93 10
0 94 15
0 95 15
0 96 30
0 97 10
0 98 30
0 99 10
0 100 15
0 101 15
0 102 10
0 103 10
0 104 15
0 105 30
0 106 10
0 107 10
0 108 30
0 109 15
0 110 30
0 111 30
0 112 15
0 113 15
0 114 10
0 115 15
0 116 10
0 117 15
0 118 15
0 119 10
0 120 30
0 121 15
0 122 30
0 123 30
0 124 15
0 125 15
0 126 30
0 127 15
0 128 30
0 129 15
0 130 10
0 131 30
0 132 30
0 133 30
0 134 15
0 135 15
0 136 30
0 137 15
0 138 30
0 139 10
0 140 15
0 141 10
0 142 30
0 143 15
0 144 10
0 145 10
0 146 30
0 147 30
0 148 15
0 149 10
1 4 10
1 5 10
1 7 30
1 10 30
1 11 30
1 12 30
1 14 10
1 15 15
1 17 10
1 18 10
1 19 30
1 20 30
1 23 30
1 24 30
1 27 30
1 28 15
1 30 30
1 31 10
1 32 10
1 33 30
1 34 15
1 35 30
1 36 15
1 37 30
1 38 15
1 40 30
1 41 10
1 42 15
1 43 15
1 44 30
1 45 10
1 46 30
1 48 30
1 49 30
1 51 10
1 54 15
1 59 15
1 60 30
1 62 10
1 63 10
1 64 10
1 68 15
1 74 10
1 76 15
1 78 15
1 81 30
1 82 15
1 84 15
1 85 10
1 92 30
1 93 30
1 96 10
1 98 15
1 100 10
1 103 30
1 105 30
1 108 30
1 109 15
1 110 15
1 111 15
1 113 10
1 116 10
1 117 15
1 119 10
1 120 30
1 121 30
1 122 30
1 124 30
1 127 30
1 128 30
1 130 30
1 131 15
1 132 10
1 136 10
1 137 15
1 139 10
1 140 15
1 141 15
1 142 10
1 143 10
1 147 15
1 148 10
1 149 30
2 1 10
2 3 15
2 4 10
2 5 30
2 6 15
2 7 10
2 9 15
2 10 30
2 12 30
2 13 15
2 14 15
2 16 15
2 18 30
2 19 15
2 23 30
2 25 10
2 26 15
2 27 10
2 29 30
2 32 30
2 33 15
2 35 10
2 37 15
2 39 15
2 44 30
2 46 10
2 48 10
2 50 30
2 51 10
2 55 10
2 56 15
2 57 30
2 60 10
2 61 10
2 63 15
2 64 10
2 67 30
2 68 30
2 77 10
