200 19900
0 1 30
0 2 30
0 3 30
0 4 30
0 5 15
0 6 10
0 7 15
0 8 15
0 9 10
0 10 30
0 11 10
0 12 15
0 13 15
0 14 15
0 15 15
0 16 30
0 17 10
0 18 15
0 19 15
0 20 30
0 21 30
0 22 15
0 23 15
0 24 30
0 25 15
0 26 10
0 27 15
0 28 15
0 29 30
0 30 30
0 31 15
0 32 30
0 33 30
0 34 10
0 35 30
0 36 30
0 37 30
0 38 15
0 39 30
0 40 15
0 41 30
0 42 30
0 43 15
0 44 30
0 45 30
0 46 30
0 47 30
0 48 15
0 49 30
0 50 15
0 51 30
0 52 30
0 53 15
0 54 30
0 55 30
0 56 15
0 57 15
0 58 15
0 59 30
0 60 15
0 61 10
0 62 15
0 63 30
0 64 10
0 65 30
0 66 10
0 67 15
0 68 10
0 69 15
0 70 30
0 71 15
0 72 15
0 73 15
0 74 15
0 75 10
0 76 10
0 77 10
0 78 30
0 79 10
0 80 10
0 81 10
0 82 10
0 83 15
0 84 30
0 85 10
0 86 15
0 87 30
0 88 30
0 89 15
0 90 30
0 91 10
0 92 10
0 93 30
0 94 30
0 95 10
0 96 15
0 97 30
0 98 30
0 99 10
0 100 15
0 101 15
0 102 15
0 103 30
0 104 30
0 105 30
0 106 10
0 107 10
0 108 15
0 109 15
0 110 15
0 111 15
0 112 10
0 113 10
0 114 15
0 115 10
0 116 30
0 117 15
0 118 30
0 119 10
0 120 30
0 121 30
0 122 30
0 123 30
0 124 10
0 125 30
0 126 10
0 127 30
0 128 30
0 129 10
0 130 30
0 131 10
0 132 30
0 133 10
0 134 30
0 135 30
0 136 10
0 137 30
0 138 30
0 139 30
0 140 30
0 141 15
0 142 15
0 143 15
0 144 30
0 145 30
0 146 30
0 147 30
0 148 30
0 149 10
0 150 30
0 151 10
0 152 30
0 153 10
0 154 30
0 155 30
0 156 10
0 157 30
0 158 30
0 159 30
0 160 10
0 161 30
0 162 15
0 163 30
0 164 15
0 165 10
0 166 30
0 167 15
0 168 30
0 169 30
0 170 15
0 171 10
0 172 15
0 173 30
0 174 10
0 175 10
0 176 10
0 177 15
0 178 10
0 179 15
0 180 30
0 181 30
0 182 15
0 183 15
0 184 15
0 185 10
0 186 30
0 187 30
0 188 10
0 189 10
0 190 10
0 191 10
0 192 10
0 193 30
0 194 30
0 195 30
0 196 10
0 197 10
0 198 10
0 199 15
1 3 30
1 10 10
1 11 15
1 13 30
1 14 10
1 15 30
1 16 10
1 19 30
1 20 30
1 21 15
1 22 30
1 24 10
1 27 30
1 29 15
1 32 30
1 34 10
1 37 15
1 38 15
1 41 30
1 42 15
1 45 15
1 47 15
1 48 30
1 49 30
1 50 10
1 51 15
1 54 10
1 55 30
1 57 30
1 58 15
1 59 30
1 60 15
1 62 10
1 63 15
1 64 30
1 65 15
1 66 15
1 68 30
1 69 15
1 70 30
1 71 15
1 73 15
1 77 15
1 85 10
1 88 30
1 89 10
1 90 15
1 91 10
1 92 10
1 94 10
1 95 15
1 96 30
1 97 30
1 101 30
1 103 15
1 106 30
1 110 15
1 111 15
1 113 30
1 117 30
1 118 15
1 119 30
1 120 15
1 122 15
1 125 30
1 126 30
1 130 30
1 131 15
1 132 10
1 134 10
1 136 15
1 138 15
1 139 30
1 140 30
1 141 30
1 145 10
1 147 15
1 148 10
1 149 10
1 150 10
1 154 30
1 158 30
1 161 10
1 164 10
1 166 15
1 167 30
1 168 10
1 170 30
1 174 10
1 179 15
1 182 10
1 188 15
1 192 10
1 194 15
1 196 30
1 198 10
1 199 15
2 1 15
2 4 30
2 5 10
2 7 10
2 8 30
2 9 15
2 10 15
2 14 15
2 16 30
2 19 10
2 21 10
2 22 10
2 23 15
2 24 15
2 29 15
2 30 30
2 32 30
2 33 15
2 37 10
2 38 10
2 40 10
2 41 15
2 42 30
2 45 30
2 46 30
2 47 10
2 49 15
2 50 10
2 51 10
2 52 30
2 54 15
2 55 15
2 56 10
2 57 10
2 58 15
2 61 15
2 64 10
2 65 10
2 66 15
2 69 15
2 71 10
2 73 30
2 74 10
2 76 15
2 80 10
2 82 10
2 85 30
2 86 10
2 87 15
2 90 15
2 93 10
2 95 30
2 96 10
2 100 10
2 101 30
2 103 30
2 105 30
2 106 10
2 107 10
2 108 30
2 110 10
2 111 30
2 112 10
2 113 10
2 115 15
2 116 15
2 123 10
2 125 10
2 126 15
2 127 15
2 129 10
2 131 10
2 133 15
2 134 15
2 136 30
2 141 15
2 145 10
2 148 30
2 149 15
2 150 30
2 151 10
2 152 10
2 157 15
2 158 10
2 159 10
2 160 10
2 161 30
2 162 30
2 166 10
2 167 30
2 168 30
2 171 10
2 173 10
2 176 10
2 185 15
2 186 15
2 187 15
2 189 30
2 191 15
2 192 30
2 194 30
2 195 30
2 196 10
2 197 30
2 198 15
2 199 30
3 2 10
3 4 30
3 6 10
3 7 15
3 10 10
3 11 15
3 14 15
3 16 10
3 17 30
3 18 15
3 20 30
3 21 30
3 22 30
3 24 15
3 29 10
3 31 10
3 33 15
3 38 15
3 39 15
3 41 10
3 43 15
3 45 30
3 47 30
3 49 30
3 50 30
3 51 10
3 52 15
3 54 30
3 56 15
3 57 10
3 60 30
3 61 30
3 62 15
3 63 30
3 65 30
3 67 15
3 68 30
3 72 10
3 74 30
3 75 15
3 76 15
3 78 30
3 79 30
3 80 30
3 82 10
3 84 10
3 86 30
3 88 10
3 91 10
3 92 10
3 99 10
3 100 30
3 103 30
3 105 30
3 106 15
3 107 10
3 108 10
3 112 30
3 119 15
3 121 30
3 122 30
3 125 15
3 126 15
3 127 30
3 128 10
3 129 10
3 130 30
3 132 10
3 133 10
3 136 10
3 137 30
3 143 30
3 146 10
3 147 10
3 152 10
3 154 10
3 156 10
3 157 10
3 158 15
3 160 10
3 164 10
3 165 15
3 169 10
3 172 30
3 174 30
3 175 15
3 177 30
3 178 10
3 179 15
3 180 15
3 182 10
3 183 15
3 186 30
3 187 10
3 189 15
3 192 10
3 193 15
3 195 30
3 196 10
3 199 15
4 1 15
4 8 15
4 9 15
4 10 15
4 12 10
4 15 10
4 16 10
4 17 15
4 18 15
4 19 15
4 20 15
4 23 15
4 28 30
4 29 15
4 32 15
4 35 15
4 38 30
4 40 10
4 44 10
4 48 10
4 50 15
4 51 15
4 52 10
4 56 15
4 57 10
4 65 10
4 67 10
4 69 10
4 71 10
4 72 10
4 76 15
4 78 15
4 79 15
4 81 15
4 82 30
4 83 30
4 84 30
4 86 15
4 91 10
4 94 30
4 97 15
4 99 10
4 100 30
4 102 30
4 104 10
4 105 10
4 107 30
4 112 15
4 115 10
4 116 10
4 117 15
4 118 10
4 120 10
4 122 10
4 123 10
4 124 30
4 125 10
4 126 30
4 133 10
4 134 30
4 136 30
4 137 15
4 138 30
4 139 15
4 140 10
4 142 10
4 146 30
4 147 10
4 149 10
4 153 30
4 154 30
4 161 30
4 163 30
4 164 30
4 166 10
4 167 30
4 172 15
4 173 15
4 177 10
4 178 15
4 180 15
4 181 30
4 185 10
4 188 30
4 190 10
4 194 10
4 196 10
4 197 10
4 198 10
4 199 10
5 1 30
5 3 10
5 4 10
5 7 10
5 8 10
5 10 15
5 12 30
5 13 10
5 15 30
5 18 15
5 23 30
5 25 15
5 26 30
5 27 30
5 30 30
5 32 10
5 33 15
5 35 15
5 36 30
5 44 10
5 51 30
5 59 10
5 61 10
5 63 30
5 66 30
5 67 15
5 68 15
5 69 15
5 73 10
5 75 30
5 76 15
5 77 30
5 83 15
5 85 15
5 86 30
5 89 15
5 93 10
5 94 30
5 99 15
5 100 30
5 102 10
5 104 30
5 106 10
5 108 30
5 110 10
5 111 30
5 113 15
5 121 30
5 122 30
5 125 15
5 127 10
5 129 10
5 131 10
5 132 15
5 134 30
5 136 10
5 138 30
5 139 30
5 140 30
5 142 10
5 144 15
5 147 30
5 148 15
5 152 30
5 156 10
5 158 15
5 159 15
5 160 15
5 162 15
5 164 15
5 165 30
5 168 30
5 169 10
5 170 10
5 171 30
5 172 10
5 173 10
5 175 30
5 176 30
5 177 30
5 184 10
5 186 10
5 187 15
5 188 30
5 189 30
5 190 10
5 193 30
5 194 10
5 195 10
5 199 10
6 1 10
6 2 15
6 4 30
6 5 10
6 7 10
6 8 15
6 9 30
6 10 10
6 11 10
6 14 15
6 16 15
6 18 10
6 22 15
6 23 10
6 25 30
6 27 10
6 28 10
6 29 30
6 30 10
6 32 15
6 33 10
6 34 15
6 35 10
6 40 10
6 41 30
6 42 10
6 43 10
6 50 10
6 51 15
6 52 10
6 54 30
6 56 10
6 57 10
6 59 15
6 60 15
6 69 10
6 71 15
6 73 10
6 74 15
6 75 30
6 76 10
6 79 30
6 80 15
6 83 10
6 84 30
6 85 30
6 88 15
6 89 10
6 92 10
6 93 30
6 96 10
6 97 30
6 98 15
6 100 15
6 102 15
6 108 15
6 109 30
6 112 15
6 113 15
6 114 10
6 115 30
6 116 30
6 117 10
6 119 10
6 120 10
6 124 30
6 128 15
6 130 30
6 132 15
6 133 30
6 135 10
6 139 30
6 140 15
6 142 10
6 143 15
6 144 10
6 147 10
6 148 30
6 149 10
6 150 10
6 152 15
6 153 10
6 156 30
6 157 15
6 158 30
6 162 15
6 163 30
6 164 10
6 166 10
6 167 15
6 168 15
6 170 15
6 171 15
6 173 15
6 174 10
6 176 15
6 178 30
6 182 10
6 183 15
6 188 15
6 192 10
6 195 30
6 196 10
6 197 30
6 198 30
6 199 15
7 1 10
7 4 10
7 10 30
7 13 15
7 15 10
7 16 15
7 17 10
7 21 10
7 22 10
7 25 10
7 26 15
7 27 15
7 28 15
7 31 10
7 32 15
7 33 15
7 34 15
7 35 10
7 39 30
7 45 15
7 46 10
7 49 15
7 51 30
7 52 15
7 53 30
7 56 15
7 58 10
7 59 10
7 60 30
7 61 15
7 63 10
7 65 30
7 67 10
7 68 30
7 69 10
7 70 15
7 71 30
7 72 30
7 73 15
7 75 30
7 76 30
7 77 10
7 79 30
7 80 15
7 81 15
7 82 30
7 84 15
7 86 15
7 92 15
7 93 15
7 94 15
7 97 15
7 98 10
7 99 10
7 105 15
7 106 10
7 107 30
7 110 10
7 116 15
7 117 30
7 118 10
7 119 10
7 120 15
7 122 10
7 124 10
7 126 15
7 127 10
7 129 30
7 131 10
7 132 10
7 133 15
7 134 15
7 137 15
7 139 30
7 145 30
7 146 10
7 150 10
7 151 30
7 152 10
7 155 15
7 156 10
7 159 15
7 163 15
7 168 30
7 171 10
7 173 15
7 175 30
7 178 30
7 179 30
7 181 30
7 183 10
7 184 10
7 190 30
7 191 10
7 192 15
7 193 15
7 194 30
7 196 10
7 199 30
8 1 10
8 3 15
8 7 30
8 10 15
8 11 10
8 12 15
8 23 30
8 24 10
8 32 10
8 33 30
8 34 10
8 35 10
8 36 10
8 37 10
8 41 30
8 42 15
8 43 15
8 44 15
8 45 15
8 46 30
8 48 15
8 49 10
8 51 15
8 53 30
8 54 30
8 55 10
8 58 10
8 59 30
8 60 10
8 61 30
8 62 15
8 65 10
8 66 30
8 67 10
8 69 10
8 70 30
8 75 30
8 80 30
8 82 10
8 83 10
8 84 10
8 87 10
8 88 30
8 95 30
8 101 30
8 102 10
8 104 10
8 105 30
8 106 15
8 107 30
8 108 30
8 111 15
8 113 30
8 114 15
8 117 15
8 118 15
8 119 15
8 120 30
8 122 30
8 127 10
8 129 15
8 130 30
8 137 15
8 138 30
8 139 10
8 140 15
8 141 15
8 147 30
8 153 10
8 154 30
8 155 10
8 156 15
8 157 30
8 159 10
